Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
The Long Wait,"Adventure, Crime, Drama            ",1954,94 min,6.5,An amnesiac finally learns his true identity...as a murder suspect. And he doesn't even know whether he is guilty...,333,Byron Haskin,John Payne
Loophole,"Crime, Drama, Film-Noir            ",1954,80 min,6.7,A bank teller attempts to clear his name and rebuild his career after he is wrongly accused of theft.,95,Edward Bernds,Bill Elliott
Make Haste to Live,"Drama, Film-Noir, Thriller            ",1954,90 min,6,"After serving 18 years in prison for a murder he didn't commit, a mobster is paroled and returns to a New Mexico town to exact his revenge on the woman responsible for his conviction.",203,Russell Birdwell,Anne Baxter
On the Waterfront,"Crime, Drama, Thriller            ",1954,108 min,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",330,Lee Sholem,John Bromfield
The Other Woman,"Crime, Drama, Film-Noir            ",1954,81 min,6.4,A woman plots revenge on her former boss.,"1,273",Don Siegel,John Cassavetes
Five Days,"Crime, Drama            ",1954,75 min,6.1,"A failed business deal forces James Nevill to blackmail his weak-willed friend into murdering him so that his wife can collect his insurance, but circumstances suddenly change.",921,Frank Tuttle,Edmond O'Brien
Playgirl,"Drama, Film-Noir            ",1954,85 min,5.8,"A naive Nebraska girl dreams of success in New York where she immerses herself in the glitzy glamorous life of the nightlife and the nightclubs frequented by rich playboys, but murder and manipulative people eventually burst her bubble.","1,110",Charles Martin,George Sanders
Private Hell 36,"Crime, Drama, Film-Noir            ",1954,81 min,6.7,"When 2 detectives steal $80,000 from a dead robber, one of them suffers from a guilty conscience which could lead to murder.",510,Bruno VeSota,Lawrence Tierney
Pushover,"Crime, Drama, Film-Noir            ",1954,88 min,7.1,"An undercover police officer falls for the beautiful moll of a bank robber on the run, and together they plan to double-cross the hood and the cops.","8,389",Mark Robson,Humphrey Bogart
Rear Window,"Mystery, Thriller            ",1954,112 min,8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",372,William Castle,Gene Barry
Riot in Cell Block 11,"Crime, Drama, Film-Noir            ",1954,80 min,7,"Fed up with the inhumane prison living conditions, a general prison riot breaks out, leading to hostage-taking, a stand-off with the guards and eventual negotiations with the prison administration officials.","50,842",Don Siegel,Kevin McCarthy
Rogue Cop,"Crime, Drama, Film-Noir            ",1954,92 min,6.6,"After witnessing a murder, honest cop Eddie Kelvaney is silenced by gangster Dan Beaumonte, prompting Eddie's brother, Detective Chris Kelvaney, to search for the killer.","1,841",Andrew L. Stone,Doris Day
Shield for Murder,"Crime, Drama, Film-Noir            ",1954,82 min,6.8,"When a brutal police detective Lt. murders a bookmaker's runner for $25,000 in cash, a deaf mute sees him do it and now he finds he must kill again to cover his tracks.","2,166",Budd Boetticher,Joseph Cotten
The Sleeping Tiger,"Drama, Thriller            ",1954,89 min,6.5,"After a convict breaks in a psychotherapist's home, he agrees to rehabilitation rather than arrest but the therapist's wife becomes infatuated with him.","90,673",Stanley Kubrick,Sterling Hayden
Suddenly,"Crime, Drama, Film-Noir            ",1954,77 min,6.8,"In the city of Suddenly, three gangsters trap the Benson family in their own house, on the top of a hill nearby the railroad station, with the intention of killing the president of the USA.","4,004",Gerd Oswald,Robert Wagner
Beautiful Stranger,"Crime, Drama, Mystery            ",1954,89 min,5.9,"Johnny Victor, an actress living with Louis Galt on the Riveria, becomes involved with Pierre Clemont and learns he is a dangerous criminal.",428,Andrew V. McLaglen,William Campbell
Violated,"Crime, Drama, Film-Noir            ",1953,78 min,5.1,"Psycho stalks the streets of Greenwich Village, killing and scalping his victims.",105,Franklin Adreon,Dane Clark
Witness to Murder,"Crime, Drama, Film-Noir            ",1954,83 min,6.6,"A woman's sanity comes into question, after she claims to have witnessed a murder from her apartment window.",195,Fred F. Sears,Lee J. Cobb
World for Ransom,"Crime, Drama, Film-Noir            ",1954,82 min,5.8,"In Singapore, a private detective and the British authorities are on the trail of a crime syndicate that kidnaps a nuclear physicist with the aim of selling him to the highest bidder.","4,145",Jacques Tourneur,Aldo Ray
Angela,"Crime, Drama            ",1954,81 min,5.7,"Angela (Mara Lane, secretary to an important businessman in Italy, Bertolati (Nino Crisman), is an attractive and sophisticated girl, which is sufficient cause for Steve Catlett ('Dennis ...                See full summary »",788,Maxwell Shane,Edward G. Robinson
The Big Bluff,"Crime, Drama, Film-Noir            ",1955,71 min,5.7,"When a scheming fortune hunter finds his rich wife is not going to die as expected, he and his lover make other plans to get her millions.","1,358",Peter Godfrey,Angela Lansbury
The Big Combo,"Crime, Drama, Film-Noir            ",1955,87 min,7.3,"A police lieutenant is ordered to stop investigating deadly crime boss Mr. Brown because he hasn't been able to get any hard evidence against him. He goes after Brown's girlfriend, who despises him, for information instead.",569,Abner Biberman,Merle Oberon
The Big Knife,"Crime, Drama, Film-Noir            ",1955,111 min,6.8,Hollywood actor Charles Castle is pressured by his studio boss into a criminal cover-up to protect his valuable career.,"1,120",Allan Dwan,John Payne
Black Tuesday,"Crime, Drama, Film-Noir            ",1954,80 min,6.6,Gangster Vincent Canelli and bank robber Peter Manning escape from Death Row minutes before their execution by electric chair.,148,Walter Doniger,Perry Lopez
A Bullet for Joey,"Crime, Drama, Film-Noir            ",1955,85 min,6,#NAME?,689,Cornel Wilde,Cornel Wilde
Cast a Dark Shadow,"Crime, Film-Noir, Thriller            ",1955,82 min,7,"Edward ""Teddy"" Bare is a delusional psychotic with a lust for wealth, older women and murder. Having committed what he thinks is the perfect murder of his elderly wife; Teddy sets his sights on new targets when her fortune goes elsewhere.",148,Irving Rapper,Edmund Purdom
City of Shadows,"Crime, Drama, Film-Noir            ",1955,70 min,5.4,"Dan Mason, a twelve-year-old newsboy, is an expert at figuring all the angles; so, when Kink, veteran bartender at Billy's Steak House, catches him winning a big jackpot in the battered old...                See full summary »",804,Mark Stevens,Mark Stevens
Crashout,"Crime, Drama, Film-Noir            ",1955,89 min,7,The survivors of a prison break set out on an arduous journey to retrieve some loot.,350,Val Guest,|
The Crooked Web,"Crime, Drama, Film-Noir            ",1955,77 min,5.9,"Government agent tries to trick a suspect into returning to Germany, the scene of his crimes.",91,Hank McCune,Lloyd Bridges
Third Party Risk,"Crime, Drama            ",1954,63 min,4.9,An American on vacation in Spain gets mixed up with a smuggling ring.,"6,529",Fritz Lang,Dana Andrews
The Desperate Hours,"Crime, Drama, Film-Noir            ",1955,112 min,7.5,Three escaped convicts move in on and terrorize a suburban household.,299,Paul Henreid,Ralph Meeker
Les diaboliques,"Crime, Drama, Horror            ",1955,117 min,8.1,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,"29,032",Alfred Hitchcock,Henry Fonda
Double Jeopardy,"Action, Adventure, Crime            ",1955,70 min,6.3,Lawyer Marc Hill helps clear the name of his girlfriend's father who is accused of murdering a man that was blackmailing him.,200,Laslo Benedek,John Cassavetes
Female on the Beach,"Crime, Drama, Film-Noir            ",1955,97 min,6.4,"Moving into a beach house involves Lynn Markham in mystery, danger, and romance with a beach boy of dubious motives.",698,Don Siegel,Mickey Rooney
Finger Man,"Crime, Drama, Film-Noir            ",1955,82 min,6.5,"An ex-con goes undercover for the government to ""finger"" the crime boss who made his sister a drug addict.",405,Robert Stevens,Rory Calhoun
5 Against the House,"Crime, Drama, Film-Noir            ",1955,84 min,5.8,Four vets attending college on the GI Bill and a cabaret singer try to rob a Reno Casino and pull off the perfect crime.,"1,431",Phil Karlson,Richard Conte
Gang Busters,"Crime, Drama            ",1955,74 min,5.6,"Hardened criminal repeatedly breaks out of Oregon State Prison, eluding police for prolonged periods afterwards.","1,777",Paul Wendkos,Dan Duryea
The Glass Cage,Mystery            ,1955,59 min,5.5,"Crowds flock to a carnival sideshow to see ""The Starving Man"", a heavyset man who claims he can go 70 days without eating. However, a couple of murders occur at the carnival, resulting in the police becoming involved.","1,320",Michael Anderson,Richard Todd
Hell's Island,"Adventure, Drama, Film-Noir            ",1955,84 min,5.9,"Down-on-his-luck Mike Cormack is hired to fly to a Caribbean island to retrieve a missing ruby. On the island, possibly involved with the ruby's disappearance, is his ex-girlfriend.",450,Sidney Salkow,Brian Keith
House of Bamboo,"Crime, Drama, Film-Noir            ",1955,102 min,6.8,"Planted in a Tokyo crime syndicate, a U.S. Army Investigator attempts to probe the coinciding death of a fellow Army official.","2,490",Gerd Oswald,Barbara Stanwyck
I Died a Thousand Times,"Crime, Drama, Film-Noir            ",1955,109 min,6.4,After aging criminal Roy Earle is released from prison he decides to pull one last heist before retiring - by robbing a resort hotel.,289,Joseph M. Newman,Peter Graves
Illegal,"Crime, Drama, Film-Noir            ",1955,88 min,7,"After an overly aggressive district attorney unknowingly sends an innocent man to the chair, he resigns, turns to drinking, and acquires a criminal clientèle.",90,Paul Dickson,Anne Heywood
Impulse,"Crime, Drama, Mystery            ",1954,80 min,6,"1955. Drama. Directed by Charles De la Tour & Cy Endfield. Stars Arthur Kennedy, Constance Smith & Joy Shelton. A Night club singer tricks an estate agent into thinking he killed a jewel thief.","3,335",Martin Ritt,John Cassavetes
Killer's Kiss,"Crime, Drama, Film-Noir            ",1955,67 min,6.6,"Ready to catch a train to his hometown, a washed-up boxer tells us about the strange and twisty events that happened to him the past couple of days.",161,Jean Yarbrough,Bill Elliott
Kiss Me Deadly,"Crime, Film-Noir, Mystery            ",1955,106 min,7.5,"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".",185,William Berke,Frank Sutton
Mad at the World,"Crime, Drama, Film-Noir            ",1955,76 min,5.9,The infant baby of Sam and Anne Bennett is critically hurt after being hit by a bottle thrown by a gang of juvenile delinquent hoodlums known as the Wolf Pack. Police Detective Tom Lynn ...                See full summary »,"1,058",Vincent Sherman,|
The Man from Laramie,Western            ,1955,103 min,7.3,Newcomer Will Lockhart defies the local cattle baron and his sadistic son by working for one of his oldest rivals.,467,Joseph H. Lewis,Joseph Cotten
The Man with the Golden Arm,"Crime, Drama, Romance            ",1955,119 min,7.3,A junkie must face his true self to kick his drug addiction.,"1,390",Fred Zinnemann,Eva Marie Saint
Mr. Arkadin,"Crime, Drama, Film-Noir            ",1955,93 min,7.1,"An elusive billionaire hires an American smuggler to investigate his past, leading to a dizzying descent into a cold-war European landscape.",628,William J. Hole Jr.,John Russell
Murder Is My Beat,"Film-Noir, Mystery            ",1955,77 min,6,A police detective helps a singer heading to prison for the murder of a man she claims is still alive.,292,André De Toth,John Payne
Naked Alibi,"Crime, Drama, Film-Noir            ",1954,86 min,6.5,"A chief of police detectives fired for brutality, tries to get evidence on a man suspected of killing 3 of his officers.",454,Hugo Haas,Cleo Moore
The Naked Street,"Crime, Drama, Film-Noir            ",1955,84 min,6.5,A mobster (Quinn) springs a condemned murderer (Granger) because he got his sister (Bancroft) pregnant.,585,Russell Rouse,Jack Palance
The Night Holds Terror,"Crime, Drama, Film-Noir            ",1955,86 min,6.3,"A group of escaped convicts take over a suburban home to evade the ongoing police manhunt, making the lives of the family living there a nightmare. The longer the men stay there, the more ...                See full summary »",156,Terence Fisher,Pat O'Brien
The Night of the Hunter,"Crime, Drama, Film-Noir            ",1955,92 min,8,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","1,100",Jack Arnold,Jeff Chandler
No Man's Woman,"Crime, Film-Noir, Mystery            ",1955,70 min,6.3,The police investigates five possible suspects in the murder of a greedy and scheming woman who wronged them.,740,Joseph Pevney,Tony Curtis
The Phenix City Story,"Crime, Drama, Film-Noir            ",1955,100 min,7.2,A crime-busting lawyer and his initially reluctant attorney father take on the forces that run gambling and prostitution in their small Southern town.,696,Victor Saville,|
Queen Bee,"Drama, Romance            ",1955,95 min,6.7,"A young woman arrives at the home of her socialite cousin, and soon finds herself sucked into the woman's complex web of deceit.",120,David Lowell Rich,Robert Vaughn
Du rififi chez les hommes,"Crime, Drama, Thriller            ",1955,118 min,8.1,"Four men plan a technically perfect crime, but the human element intervenes...","1,155",Hubert Cornfield,Gene Raymond
Shack Out on 101,"Crime, Drama, Film-Noir            ",1955,80 min,6.3,"An isolated diner on California's 101 highway provides the backdrop of the story involving nuclear secrets, foreign spies and federal agents.","2,177",Samuel Fuller,Rod Steiger
Sudden Danger,"Crime, Drama, Film-Noir            ",1955,65 min,6.2,"A woman who heads a sportswear manufacturing company is found dead. Although it is ruled a suicide, the police detective in charge believes she was murdered, and his subsequent ...                See full summary »",545,William Asher,Philip Carey
Tight Spot,"Crime, Drama, Film-Noir            ",1955,97 min,6.6,A female inmate is whisked out of prison and into a police-guarded hotel until the district attorney can convince her to testify against the mob.,"32,792",Alexander Mackendrick,Burt Lancaster
Violent Saturday,"Crime, Drama, Film-Noir            ",1955,90 min,6.9,"Three men case a small town very carefully, with plans to rob the bank on the upcoming Saturday, which turns violent and deadly.",517,Jack Arnold,Jeff Chandler
Dial 999,"Crime, Drama            ",1955,86 min,5.9,"A man tells his wife that the police are after him for having killed a bookie during an alcoholic binge, but that he is innocent and is being framed for the murder. The wife and her brother...                See full summary »",300,Roger Corman,June Kenney
Women's Prison,"Crime, Drama, Film-Noir            ",1955,80 min,6.5,"A sadistic prison warden takes out her sexual frustration on her women inmates. While a caring physician tries to improve the jail's brutal atmosphere, a pair of rebellious inmates take matters into their own hands.","1,592",Joseph Losey,Michael Redgrave
Accused of Murder,"Crime, Drama, Film-Noir            ",1956,74 min,5.5,"Police detective falls for singer, gets involved with gangster killing.",539,John Farrow,Diana Dors
Attack,"Action, Drama, War            ",1956,107 min,7.4,"In 1944, an American Infantry company sets up an artillery observation post, but tensions between Captain Cooney and Lieutenant Costa run high.",363,Gerd Oswald,Sterling Hayden
Autumn Leaves,Drama            ,1956,107 min,6.8,"A lonely middle-aged woman meets a younger man, but their relationship is threatened when the man's troubled past reveals itself.",513,William Berke,Robert Loggia
Beyond a Reasonable Doubt,"Crime, Drama, Film-Noir            ",1956,80 min,6.9,A novelist aided by his future father-in-law conspires to frame himself for the murder of a burlesque dancer as part of an effort to ban capital punishment.,45,Joseph Kane,John Smith
Yield to the Night,"Crime, Drama            ",1956,99 min,7.1,"A young woman who has been abused and taken advantage of by the men in her life finally finds a man whom she feels truly loves her. When she finds out otherwise, and that he had been ...                See full summary »","1,306",Andrew L. Stone,James Mason
The Boss,"Crime, Drama, Film-Noir            ",1956,89 min,6.3,"Political corruption is vividly depicted as a ruthless WWI veteran takes almost complete control of a state with the help of a crooked lawyer. The film is enhanced by John Payne's persuasive performance as ""The Boss.""","6,785",Robert Wise,Susan Hayward
Calling Homicide,"Crime, Drama            ",1956,60 min,6.5,Two homicide detectives search for a connection between the car-bombing murder of a fellow investigator and the mutilation murder of a much-hated owner of a modeling school.,69,Paul Landres,Richard Eyer
The Come On,"Crime, Drama, Film-Noir            ",1956,83 min,6,Unscrupulous con woman gets involved in murder.,"3,978",Don Siegel,Eli Wallach
Crime Against Joe,"Crime, Film-Noir, Thriller            ",1956,70 min,5.8,A disreputable Korean War veteran is suspected of murder.,"1,248",Vincent J. Donehue,Montgomery Clift
Crime in the Streets,"Action, Crime, Drama            ",1956,91 min,6.6,Social worker tries to befriend local slum gang.,143,Frank Myers,Ken Clayton
A Cry in the Night,"Crime, Drama, Film-Noir            ",1956,75 min,6,A deranged man kidnaps the nubile daughter of a police captain.,"8,227",Anthony Mann,Gary Cooper
Death of a Scoundrel,"Crime, Drama, Film-Noir            ",1956,119 min,6.9,The New York police investigates the murder of a Czech immigrant whose rags-to-riches story is told by his secretary to homicide detectives.,159,Joseph Kane,Rod Cameron
Female Jungle,"Crime, Drama, Film-Noir            ",1955,73 min,5.5,"Several persons, including an off duty policeman and a weird rich guy, are suspects in the murder of a beautiful actress.","3,729",Irving Lerner,Vince Edwards
The Harder They Fall,"Drama, Film-Noir, Sport            ",1956,109 min,7.5,"An ex-sportswriter is hired by a shady fight promoter to promote his latest find, an unknown but easily exploitable rising star from Argentina.",803,Seth Holt,|
The Houston Story,"Crime, Drama, Film-Noir            ",1956,79 min,6.1,"In Houston, a man working as an oil driller comes up with a scheme for stealing millions of dollars worth of oil from the fields. He insinuates himself with a local mobster in order to get financing for his scheme.","3,488",Nicholas Ray,Robert Taylor
Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi            ",1956,80 min,7.7,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,184,R.G. Springsteen,Gene Evans
Julie,"Crime, Drama, Film-Noir            ",1956,99 min,6.1,A terrified wife tries to escape from her insanely jealous husband who is bent on killing her.,"1,604",William Dieterle,Burt Lancaster
The Killer Is Loose,"Crime, Drama, Film-Noir            ",1956,73 min,6.6,"An unhinged, deceptively mild-mannered bank robber escapes prison, seeking revenge on the cop who accidentally killed his wife during a gun battle.",430,Irvin Kershner,Yale Wexler
The Killing,"Crime, Drama, Film-Noir            ",1956,84 min,8,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,171,Harry Keller,Colleen Miller
A Kiss Before Dying,"Crime, Film-Noir, Mystery            ",1956,94 min,6.7,A ruthless college student resorts to murder in an attempt to marry an heiress.,"2,209",Joseph H. Lewis,Sterling Hayden
Man in the Vault,"Crime, Drama, Film-Noir            ",1956,73 min,6,A locksmith gets caught up in a bank robbery.,"105,322",Orson Welles,Charlton Heston
The Man Is Armed,"Crime, Drama, Film-Noir            ",1956,70 min,6,"Crime drama in which a man unknowingly helps a gang pull off a big heist. The gang discovers that the man is more trouble than he is worth and as a result, things don't go as smoothly as planned.","403,079",Alfred Hitchcock,James Stewart
Miami Exposé,"Crime, Drama, Film-Noir            ",1956,73 min,6.1,"Miami cop Bart Scott tracks down, in Cuba, a fugitive witness who can shed light in a double homicide and about the activities of a Miami mob lawyer who uses murder and blackmail in order to force the legalization of gambling in Florida.",361,Charles F. Haas,Steve Cochran
Nightfall,"Crime, Drama, Film-Noir            ",1956,78 min,7.2,"Through a series of bizarre coincidences, an artist finds himself falsely accused of bank robbery and murder and is pursued by the authorities and the real killers.",296,Charles F. Haas,Mickey Rooney
Nightmare,"Crime, Drama, Film-Noir            ",1956,89 min,6.4,A New Orleans musician has a nightmare about killing a man in a strange house but he suspects that it really happened.,"6,766",Richard Fleischer,Orson Welles
Outside the Law,"Crime, Drama, Film-Noir            ",1956,81 min,6.3,"An ex-con is given the chance to redeem himself, and revenge the murder of an old army buddy, by going undercover in Germany and helping the authorities break up a ring of international ...                See full summary »","2,856",Samuel Fuller,Victoria Shaw
Please Murder Me!,"Crime, Drama, Film-Noir            ",1956,78 min,6.5,"A lawyer suffers a guilt complex after getting a murder acquittal for his client, and then finding out she did commit the crime.",143,Paul Stanley,John Saxon
The Price of Fear,"Crime, Drama, Film-Noir            ",1956,79 min,6.2,The co-owner of a dog track is framed for two crimes: the shotgun killing of his ex-partner and the hit-and-run death of an elderly man.,81,Harold Daniels,Gerald Mohr
Serenade,"Drama, Music, Romance            ",1956,121 min,5.8,"Damon Vincenti, a young vineyard worker, has a beautiful tenor voice and dreams of becoming a great opera singer. He debuts at Lardelli's Italian restaurant in San Francisco, where he is ...                See full summary »",332,Howard W. Koch,Mickey Rooney
Slightly Scarlet,"Crime, Drama, Film-Noir            ",1956,99 min,6.5,"An urban wheeler-dealer gets involved in organized crime, corrupt city politics and graft while falling in-love with the fiancée of the newly elected mayor.",115,Lee Sholem,Nan Peterson
Soho Incident,"Crime, Drama, Film-Noir            ",1956,76 min,6.1,"A Canadian living in London is trying to succeed as a prizefighter, without much luck. He meets the sister of a local mob leader, and she soon draws him into the gang's activities. When he ...                See full summary »",659,Michael Curtiz,Alan Ladd
The Steel Jungle,"Crime, Drama, Film-Noir            ",1956,86 min,5.7,A power struggle emerges among convicts condemned to prison life.,"4,862",Robert Wise,Harry Belafonte
Storm Fear,"Crime, Drama, Film-Noir            ",1955,88 min,6.4,"After being wounded by a bullet, bank robber Charlie Blake seeks shelter with his gang at his brother's mountain retreat. There he rekindles his romance with his brother's wife and reconnects with the boy he believes is his son.",181,Robert Siodmak,Nadja Tiller
Strange Intruder,"Crime, Drama, Film-Noir            ",1956,82 min,5.5,"When a soldier is killed in action during the Korean War, his best friend returns home to fill his dying wish that he kill his two children if they are being raised by another man.","5,726",Budd Boetticher,Randolph Scott
Terror at Midnight,"Crime, Drama            ",1956,70 min,6.4,"Neal Rickards (Scott Brady), a young police detective, is investigating a big interstate hot-car racket. His fiance Susan Lang (Joan Vohs) becomes a victim of circumstances involving the ...                See full summary »",579,Norman Panama,Richard Widmark
Time Table,"Crime, Drama, Film-Noir            ",1956,80 min,6.6,"In Arizona, a train's baggage car is robbed of a large payroll, prompting an investigation led by a railroad official-insurance investigator team.",881,,
The Weapon,"Crime, Mystery, Thriller            ",1956,81 min,6.2,A boy accidentally shoots a friend with a gun he found in the rubble of a destroyed building. The gun turns out to be a clue in a ten-year-old murder case.,336,,
Wetbacks,"Action, Crime, Drama            ",1956,89 min,5.1,"Hard on his luck, a fishing charter boat captain unwisely gets involved with a crime ring smuggling illegal Mexicans into California.",91,,
While the City Sleeps,"Crime, Drama, Film-Noir            ",1956,100 min,6.9,A serial killer has been killing beautiful women in New York and the new owner of a media company offers a high ranking job to the first of his senior executives who can get the earliest scoops on the case.,6552,,
A Woman's Devotion,"Crime, Drama, Film-Noir            ",1956,88 min,5.8,A newly-married American couple vacationing in Mexico is prevented by the police from leaving Acapulco when the husband becomes the prime suspect in a local girl's murder.,301,,
The Wrong Man,"Drama, Film-Noir            ",1956,105 min,7.4,"In 1953, an innocent man named Christopher Emanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber.",29162,,
Affair in Havana,"Crime, Film-Noir            ",1957,77 min,5.5,Songwriter falls in love with a crippled man's wife.,200,,
Baby Face Nelson,"Biography, Crime, Drama            ",1957,85 min,6.3,"George ""Babyface"" Nelson became one of the most important gangsters of 1930's Chicago by making brutal robberies. In order to compete with Al Capone, he allied himself with John Dillinger.",703,,
The Big Caper,"Crime, Drama, Film-Noir            ",1957,84 min,6.5,"A ""confidence couple"" pose as husband and wife while attempting a bank heist.",416,,
The Brothers Rico,"Crime, Drama, Film-Noir            ",1957,92 min,6.8,"A retired mob accountant is drawn back in when his brothers, who have recently made a hit for the organization, decide to go to the authorities.",1441,,
The Burglar,"Drama, Film-Noir, Thriller            ",1957,90 min,6.6,Dan Duryea and his cronies rob a fake spiritualist and then take it on the lam to Atlantic City.,1785,,
Chase a Crooked Shadow,"Crime, Mystery, Thriller            ",1958,88 min,7,"At Kimberley Prescott's villa, a stranger shows up and claims he is her brother who supposedly died the previous year in a car accident.",1328,,
Chicago Confidential,"Action, Adventure, Crime            ",1957,75 min,6.1,"In Chicago, a crime syndicate tries to take over a labor union by killing its blow-whistler treasurer and framing the honest union boss for the murder.",455,,
Crime of Passion,"Crime, Drama, Film-Noir            ",1956,86 min,6.4,Kathy leaves the newspaper business to marry homicide detective Bill but is frustrated by his lack of ambition and the banality of life in the suburbs. Her drive to advance Bill's career soon takes her down a dangerous path.,2506,,
Death in Small Doses,"Crime, Drama, Film-Noir            ",1957,79 min,6.1,A government agent investigates the use of illegal amphetamines among long-haul truck drivers.,291,,
The Depraved,Crime            ,1957,71 min,5.2,U.S. Army captain stationed in England has an affair with a local married woman. Together they hatch a plan to kill her husband.,90,,
Edge of the City,Drama            ,1957,85 min,7.2,The growing friendship of two NYC longshoremen is threatened by a notably repellent punk.,3348,,
Footsteps in the Night,"Drama, Mystery            ",1957,62 min,6,"A gambling addict is the logical suspect in the death of a card-playing neighbor who caused his relapse - too logical, think the two detectives on the case.",162,,
Four Boys and a Gun,"Crime, Drama, Thriller            ",1957,74 min,6,"The moving story of 4 young men struggling against overwhelming odds to remain honest. Crooked employer shorts their earnings; they turn to crime, their first theft ending in tragedy.",187,,
The Garment Jungle,"Crime, Drama, Film-Noir            ",1957,88 min,6.6,The struggle of a lady's garment workers' organization to unionize a New York clothing sweat shop; the owner of which is determined to keep the union out of his business at any cost.,1065,,
The Halliday Brand,"Drama, Romance, Western            ",1957,79 min,6.3,Sheriff Halliday doesn't approve of his children dating or marrying half-breeds and his blind hate threatens to alienate his whole family.,468,,
A Hatful of Rain,Drama            ,1957,109 min,7.2,A Korean War veteran's morphine addiction wreaks havoc upon his family.,1394,,
Hell Bound,"Crime, Drama, Film-Noir            ",1957,69 min,6.3,"After World War II, a Los Angeles crime ring uses a complex scheme, involving a freight ship, a junkie, and a corrupt health officer, to smuggle drugs into the USA.",633,,
Hidden Fear,"Crime, Drama, Thriller            ",1957,80 min,5.5,"When his sister is arrested in Denmark for murder, American cop Mike Brent aids Danish police with the case and stumbles upon a currency counterfeiting ring.",296,,
Hit and Run,"Crime, Drama, Film-Noir            ",1957,87 min,6.2,"A mechanic wants his boss's younger wife for himself, and plans on using a junkyard car to run him over, then dismantling it.",466,,
House of Numbers,"Crime, Drama, Film-Noir            ",1957,90 min,6.4,San Quentin prison inmate Arnie Judlow asks his twin brother Bill and his wife Ruth to assist him in a daring escape plan.,585,,
Kill Me Tomorrow,"Crime, Drama            ",1957,80 min,5.3,A boozy old reporter finds his life is falling apart around him. He loses his wife and then his job. He is dragged back to reality when his son needs help. He goes to ask for his old job back but finds his old boss dead in the office ...,156,,
Man in the Shadow,"Action, Crime, Drama            ",I 1957,80 min,6.8,"Virgil Renchler owns most of the town, providing a thriving economy. When his men go too far and kill one of his migrant workmen, the sheriff goes after him, even if it means his job and everyone else's.",1108,,
The Midnight Story,"Crime, Drama, Film-Noir            ",1957,90 min,6.7,"When a San Francisco priest is murdered, a policeman, who's a close friend, starts an investigation.",744,,
My Gun Is Quick,"Crime, Drama, Mystery            ",1957,90 min,6.1,Detective Mike Hammer becomes curious when a woman he befriended is murdered.,698,,
The Night Runner,"Drama, Film-Noir, Thriller            ",1957,79 min,5.9,"A mental patient with a violent past is released from the institution, against the advice of his doctors, and sent back to his old neighborhood. Realizing that he can't handle the pressures...                See full summary »",98,,
No Time to Be Young,Drama            ,1957,82 min,5.8,"Three cool young men rob a supermarket, shoot the manager and flee the police.",120,,
Plunder Road,"Crime, Drama, Film-Noir            ",1957,72 min,6.9,"Five men rob a train in Utah of 10 million dollars in gold and head to Los Angeles in 3 trucks hoping to meet up with their beautiful accomplice, and leave the country.",1168,,
Run of the Arrow,Western            ,1957,86 min,6.7,"When the South loses the war, Confederate veteran O'Meara goes West, joins the Sioux, takes a wife and refuses to be an American but he must choose a side when the Sioux go to war against the U.S. Army.",2187,,
The Shadow on the Window,"Crime, Drama, Film-Noir            ",1957,76 min,6.1,"Three young thugs rob a farmhouse, kill the owner and take his stenographer hostage but the woman's estranged husband, a police detective, starts investigating her disappearance.",550,,
Short Cut to Hell,"Crime, Drama, Film-Noir            ",1957,89 min,5.9,"A professional hitman is hired by a friend to commit two murders. His friend pays him off in what turns out to be stolen money, and the police soon trace the money to him. On the run, he ...                See full summary »",283,,
Sweet Smell of Success,"Drama, Film-Noir            ",1957,96 min,8,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,32952,,
The Tattered Dress,"Crime, Drama, Film-Noir            ",1957,93 min,6.6,"When top lawyer James Blane gets an acquittal for a man who killed another man for sexually roughing up his trophy wife, the murderous town sheriff frames him for bribing a juror in the case.",525,,
Teenage Doll,"Crime, Drama, Film-Noir            ",1957,71 min,5.7,"A delinquent girls' gang pursues a nice ingenue linked romantically to the male leader of a rival gang, and apparently to the murder of one of their members.",301,,
Time Without Pity,"Crime, Drama, Film-Noir            ",1957,85 min,6.8,"The day before a young man is to be executed for killing his girlfriend, his alcoholic father shows up to try to prove his innocence.",1604,,
