Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Bewitched,"Crime, Drama, Film-Noir            ",1945,65 min,5.6,"A young woman has two distinct personalities, one of whom is evil and constantly gets her in trouble.","1,024",Budd Boetticher,Otto Kruger
The Body Snatcher,"Horror, Thriller            ",1945,78 min,7.3,A ruthless doctor and his young prize student find themselves continually harassed by their murderous supplier of illegal cadavers.,704,Joseph H. Lewis,Tom Conway
Circumstantial Evidence,"Crime, Drama, Film-Noir            ",1945,68 min,5.3,"When his son is abused, Joe Reynolds threatens to kill the man responsible. When that man is killed, Joe finds himself facing the electric chair.","5,790",Otto Preminger,Alice Faye
Confidential Agent,"Drama, Thriller            ",1945,118 min,6.5,"In 1937, agents from the opposing sides of the Spanish Civil War travel to the neutral UK to secure coal contracts and to undermine each other's efforts.","1,588",Richard Wallace,John Garfield
Conflict,"Drama, Film-Noir, Mystery            ",1945,86 min,7.1,An engineer trapped in an unhappy marriage murders his wife in the hope of marrying her younger sister.,"1,277",Anthony Mann,Erich von Stroheim
Cornered,"Drama, Film-Noir, Thriller            ",1945,102 min,6.6,Canadian flyer Laurence Gerard finds that his wife has been murdered by a French collaborator. His quest for justice leads him to Switzerland and Argentina.,"3,281",John Brahm,Laird Cregar
Danger Signal,"Crime, Drama, Film-Noir            ",1945,78 min,6.6,"A very romantic murderer has plans to seduce, marry and kill a beautiful woman for her wealth, but finds her younger sister to be even better prey.","3,044",Henry Hathaway,William Eythe
Dangerous Intruder,"Crime, Drama, Film-Noir            ",1945,65 min,6.1,"An actress, Jenny (Veda Ann Borg), is hitchhiking across the country when she is accidently struck by a car. The driver, Max Ducone (Charles Arnt), offers to take her into his home until ...                See full summary »",215,Gustav Machatý,John Loder
Detour,"Crime, Drama, Film-Noir            ",1945,68 min,7.3,"Chance events trap hitchhiking nightclub pianist Al Roberts in a tightening net of death, deception and blackmail.","1,191",Edwin L. Marin,George Raft
Escape in the Fog,"Crime, Drama, Film-Noir            ",1945,63 min,5.9,"During WW2, an army nurse on R&R in San Francisco has a premonition about witnessing a murder attempt against a G-man by Nazi agents.",394,Sam Newfield,Mary Beth Hughes
The Falcon in San Francisco,"Crime, Film-Noir, Mystery            ",1945,66 min,6.4,The Falcon and his friend Goldie Locke check into what appears to be a silk-smuggling racket in San Francisco.,"2,245",Charles David,Deanna Durbin
Fallen Angel,"Crime, Film-Noir, Mystery            ",1945,98 min,7,"A slick con man arrives in a small town looking to make some money, but soon gets more than he bargained for.","13,486",John M. Stahl,Gene Tierney
The Fallen Sparrow,"Film-Noir, Mystery            ",1943,94 min,6.6,"In 1940, an American former Republican prisoner during the Spanish Civil War, John McKittrick, is determined to find the killer of NYPD Lieutenant Louie Lepetino, who had helped him escape.","37,678",Billy Wilder,Ray Milland
The Great Flamarion,"Crime, Drama, Film-Noir            ",1945,78 min,6.6,"Part of an entertainment act, a beautiful but unscrupulous female performer manipulates all the men in her life in order to achieve her aims.","1,602",William Dieterle,Jennifer Jones
Hangover Square,"Crime, Drama, Music            ",1945,77 min,7.4,A promising classical musician finds his life poisoned by a music hall dancer -- and by the strange gaps in his memory.,"26,359",Michael Curtiz,Joan Crawford
The House on 92nd Street,"Crime, Drama, Film-Noir            ",1945,88 min,6.6,Bill Dietrich becomes a double agent for the F.B.I. in a Nazi spy ring.,"13,515",Albert Lewin,George Sanders
Isle of the Dead,"Drama, Horror, Mystery            ",1945,71 min,6.5,"On a Greek island during the 1912 war, several people are trapped by quarantine for the plague. If that isn't enough worry, one of the people, a superstitious old peasant woman, suspects ...                See full summary »",620,Lew Landers,Richard Dix
Jealousy,"Film-Noir, Mystery            ",1945,71 min,6.2,"The wife of an alcoholic writer must take a job as a taxi driver to make ends meet. A young man she picks up as a fare befriends her, but when her husband is found murdered, the police suspect she and her new ""friend"" committed the murder.","17,262",Fritz Lang,Edward G. Robinson
Johnny Angel,"Crime, Drama, Film-Noir            ",1945,79 min,6.3,"When a New Orleans merchant ship captain finds his father's sister ship derelict at sea, he investigates the crew's mysterious disappearance amid rumors of a smuggled gold cargo.","49,229",Alfred Hitchcock,Ingrid Bergman
The Lady Confesses,"Crime, Drama, Film-Noir            ",1945,64 min,5.9,"An estranged wife shows up after a nearly 7 year disappearance to prevent her husband from marrying his new love, and someone kills her.",182,Robert D. Webb,Richard Conte
Lady on a Train,"Comedy, Crime, Film-Noir            ",1945,94 min,6.7,"In New York, a woman who partially witnesses a killing from a train window seeks the aid of a crime novelist to solve the murder.",175,Phil Rosen,Edmund Lowe
Leave Her to Heaven,"Drama, Film-Noir, Romance            ",1945,110 min,7.6,"A writer falls in love with a young socialite and they're soon married, but her obsessive love for him threatens to be the undoing of them both as well as everyone around them.","1,027",Anthony Mann,Tom Conway
The Lost Weekend,"Drama, Film-Noir            ",1945,101 min,7.9,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,478,Lewis Allen,Joel McCrea
Love Letters,"Drama, Mystery, Romance            ",1945,101 min,7.1,"Allen Quinton writes a fellow soldier's love letters; tragedy results. Later, Allen meets a beautiful amnesiac who fears postmen...",191,Walter Colmes,Richard Arlen
Mildred Pierce,"Crime, Drama, Film-Noir            ",1945,111 min,7.9,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,"2,825",Robert Florey,Robert Alda
My Name Is Julia Ross,"Crime, Drama, Film-Noir            ",1945,65 min,7,"Julia Ross secures employment, through a rather nosy employment agency, with a wealthy widow, Mrs. Hughes, and goes to live at her house. 2 days later, she awakens - in a different house, ...                See full summary »","86,410",Howard Hawks,Humphrey Bogart
The Picture of Dorian Gray,"Drama, Fantasy, Horror            ",1945,110 min,7.5,"A corrupt young man somehow keeps his youthful beauty, but a special painting gradually reveals his inner ugliness to all.","3,269",Roy William Neill,Dan Duryea
The Power of the Whistler,"Crime, Film-Noir, Romance            ",1945,66 min,6.3,"A woman uses a deck of cards to predict death within 24 hours for a stranger sitting at a bar, then tries to help him remember who he is based on items in his pockets.",44,Will Jason,Martha O'Driscoll
Scarlet Street,"Crime, Drama, Film-Noir            ",1945,102 min,7.8,"A man in mid-life crisis befriends a young woman, though her fiancé persuades her to con him out of the fortune they mistakenly assume he possesses.","8,834",George Marshall,Alan Ladd
